iter	Passed	Remaining
587	378472	6058126
588	379023	6056006
589	379581	6054002
590	380287	6054360
591	380973	6054388
592	381588	6053287
593	382153	6051400
594	382846	6051553
595	383519	6051378
596	384325	6053279
597	384866	6051025
598	385520	6050547
599	386118	6049189
600	386717	6047845
601	387284	6046008
602	387940	6045571
603	388479	6043296
604	389083	6042053
605	389643	6040116
606	390245	6038847
607	390915	6038609
608	391676	6039797
609	392224	6037680
610	392908	6037670
611	393556	6037101
612	394247	6037193
613	394869	6036227
614	395430	6034329
615	396117	6034360
616	396778	6033993
617	397379	6032707
618	397880	6029907
619	398649	6031174
620	399311	6030821
621	399992	6030755
622	400543	6028720
623	401172	6027876
624	401921	6028827
625	402447	6026421
626	403040	6025032
627	403686	6024447
628	404250	6022623
629	404812	6020781
630	405580	6022007
631	406318	6022776
632	406872	6020815
633	407430	6018921
634	408014	6017414
635	408608	6016046
636	409222	6014991
637	409779	6013100
638	410356	6011497
639	410980	6010592
640	411586	6009426
641	412225	6008737
642	412874	6008188
643	413456	6006672
644	414057	6005436
645	414838	6006808
646	415428	6005414
647	416027	6004145
648	416688	6003777
649	417260	6002126
650	417920	6001748
651	418482	5999958
652	419170	5999981
653	419872	6000194
654	420427	5998310
655	421063	5997593
656	421697	5996828
657	422380	5996769
658	422957	5995220
659	423631	5995027
660	424190	5993219
661	424808	5992237
662	425441	5991477
663	426110	5991212
664	426789	5991099
665	427468	5990973
666	428147	5990850
667	428783	5990126
668	429460	5989974
669	430017	5988148
670	430587	5986508
671	431159	5984901
672	431740	5983418
673	432311	5981799
674	433102	5983229
675	433711	5982142
676	434346	5981405
677	434928	5979941
678	435504	5978399
679	436172	5978124
680	436741	5976499
681	437389	5975949
682	438023	5975200
683	438716	5975264
684	439336	5974331
685	440047	5974640
686	440620	5973062
687	441237	5972096
688	441893	5971650
689	442402	5969234
690	443033	5968444
691	443527	5965826
692	444053	5963647
693	444688	5962922
694	445341	5962452
695	446017	5962276
696	446557	5960298
697	447227	5960040
698	447844	5959091
699	448537	5959138
700	449088	5957315
701	449737	5956780
702	450348	5955749
703	450996	5955202
704	451798	5956688
705	452374	5955191
706	452992	5954255
707	453548	5952499
708	454241	5952550
709	454847	5951461
710	455528	5951343
711	456182	5950874
712	456799	5949928
713	457362	5948270
714	457890	5946177
715	458531	5945545
716	459154	5944670
717	459861	5944900
718	460374	5942608
719	460954	5941195
720	461558	5940082
721	462115	5938381
722	462745	5937612
723	463401	5937170
724	464096	5937230
725	464722	5936410
726	465389	5936116
727	466210	5937775
728	466961	5938543
729	467553	5937282
730	468082	5935230
731	468736	5934772
732	469441	5934950
733	469960	5932768
734	470552	5931528
735	471244	5931531
736	471829	5930203
737	472373	5928351
738	473004	5927602
739	473736	5928114
740	474316	5926721
741	474980	5926374
742	475484	5924037
743	476046	5922431
744	476616	5920926
745	477338	5921302
746	477935	5920127
747	478539	5919050
748	479102	5917461
749	479633	5915481
750	480305	5915241
751	480844	5913370
752	481522	5913200
753	482212	5913179
754	482956	5913822
755	483599	5913222
756	484145	5911434
757	484934	5912616
758	485568	5911905
759	486245	5911721
760	486924	5911555
761	487573	5911022
762	488290	5911319
763	488890	5910194
764	489506	5909277
765	490141	5908575
766	490753	5907591
767	491326	5906157
768	492035	5906349
769	492669	5905633
770	493339	5905360
771	493876	5903481
772	494531	5903034
773	495058	5901046
774	495593	5899159
775	496316	5899515
776	496989	5899276
777	497679	5899229
778	498280	5898131
779	498962	5897988
780	499631	5897698
781	500179	5895977
782	500790	5895005
783	501363	5893575
784	501963	5892479
785	502430	5889813
786	502951	5887797
787	503596	5887227
788	504227	5886486
789	504849	5885647
790	505562	5885872
791	506133	5884443
792	506910	5885406
793	507511	5884321
794	508094	5883033
795	508650	5881431
796	509167	5879378
797	509851	5879267
798	510448	5878141
799	511061	5877212
800	511769	5877358
801	512375	5876346
802	513035	5875951
803	513723	5875875
804	514299	5874516
805	514881	5873221
806	515526	5872661
807	516144	5871787
808	516826	5871633
809	517419	5870480
810	518079	5870073
811	518655	5868722
812	519242	5867501
813	519879	5866843
814	520478	5865766
815	521155	5865555
816	521876	5865839
817	522465	5864648
818	523145	5864463
819	523801	5864026
820	524439	5863377
821	524921	5860989
822	525695	5861854
823	526449	5862501
824	527080	5861771
825	527635	5860202
826	528276	5859586
827	528953	5859372
828	529547	5858235
829	530188	5857619
830	530839	5857124
831	531434	5855995
832	531967	5854193
833	532558	5853036
834	533239	5852863
835	533938	5852882
836	534480	5851188
837	534995	5849201
838	535689	5849165
839	536371	5849008
840	537009	5848360
841	537631	5847542
842	538285	5847066
843	538912	5846308
844	539611	5846326
845	540331	5846568
846	540952	5845731
847	541460	5843682
848	542100	5843066
849	542685	5841853
850	543252	5840443
851	543941	5840350
852	544621	5840150
853	545179	5838651
854	545873	5838610
855	546448	5837299
856	547133	5837152
857	547814	5836966
858	548473	5836553
859	549161	5836433
860	549826	5836083
861	550515	5835979
862	551100	5834763
863	551621	5832886
864	552308	5832761
865	552842	5831015
866	553582	5831452
867	554228	5830889
868	554894	5830543
869	555360	5828092
870	555999	5827467
871	556622	5826660
872	557192	5825312
873	557902	5825419
874	558487	5824222
875	559139	5823729
876	559828	5823621
877	560421	5822512
878	561016	5821420
879	561633	5820563
880	562267	5819883
881	562866	5818842
882	563456	5817706
883	564078	5816896
884	564774	5816855
